id,start,end,duration,working_on,what_did
legacy-0e65c1324053addc,2026-03-16 14:24:10,2026-03-16 15:14:18,50,,keep talking to claude simulating ab testing interview. finish 1-2 questions properly
legacy-308717ed73170131,2026-03-15 19:23:40,2026-03-15 19:45:42,22,,continue dialogue with claude testing me about ab - test
legacy-d6700ca434da7184,2026-03-15 19:22:48,2026-03-15 19:22:49,0,,
legacy-715b93ad15f9bdab,2026-03-15 19:21:01,2026-03-15 19:21:03,0,,
legacy-984d84c5628557d9,2026-03-15 19:12:41,2026-03-15 19:12:42,0,,
legacy-76d5ce8bd8b9d087,2026-03-15 18:54:49,2026-03-15 18:54:52,0,,
legacy-71c80a15a69ce5dc,2026-03-15 16:26:23,2026-03-15 16:46:47,20,,ab-testing part 2
legacy-fa944cb4c4d78a64,2026-03-15 15:05:27,2026-03-15 15:25:27,20,,
legacy-acf462fc834c5f5c,2026-03-15 14:25:35,2026-03-15 14:45:35,20,,
legacy-a5eedf6b6b30f0aa,2026-03-15 13:32:54,2026-03-15 13:33:05,0,,
legacy-0794bf3495dcf9f0,2026-03-15 16:26:23,2026-03-15 16:46:47,20,,asked ai to do subset and
legacy-18ef77b076936e54,2026-03-15 17:06:05,2026-03-15 17:55:07,49,,
